"time","log.status.actuals","log.status.forecasts"
444,2.89037175789616;2.89037175789616;2.89037175789616,
445,2.89037175789616;2.89037175789616;2.89037175789616,
446,2.89037175789616;2.89037175789616;2.89037175789616,
447,2.89037175789616;2.89037175789616;2.89037175789616,
448,2.89037175789616;2.89037175789616;2.89037175789616,
449,2.89037175789616;2.89037175789616;2.89037175789616,
450,2.89037175789616;2.89037175789616;2.89037175789616,
451,2.89037175789616;2.89037175789616;2.89037175789616,
452,2.89037175789616;2.89037175789616;2.89037175789616,
453,2.89037175789616;2.89037175789616;2.89037175789616,
454,2.89037175789616;2.89037175789616;2.89037175789616,
455,2.89037175789616;2.89037175789616;2.89037175789616,
456,2.89037175789616;2.89037175789616;2.89037175789616,
457,2.89037175789616;2.89037175789616;2.89037175789616,
458,2.89037175789616;2.89037175789616;2.89037175789616,
459,2.89037175789616;2.89037175789616;2.89037175789616,
460,2.89037175789616;2.89037175789616;2.89037175789616,
461,2.89037175789616;2.89037175789616;2.89037175789616,
462,2.89037175789616;2.89037175789616;2.89037175789616,
463,2.89037175789616;2.89037175789616;2.89037175789616,
464,2.89037175789616;2.89037175789616;2.89037175789616,
465,2.89037175789616;2.89037175789616;2.89037175789616,
466,2.89037175789616;2.89037175789616;2.89037175789616,
467,2.89037175789616;2.89037175789616;2.89037175789616,
468,2.89037175789616;2.89037175789616;2.89037175789616,
469,2.89037175789616;2.89037175789616;2.89037175789616,
470,2.89037175789616;2.89037175789616;2.89037175789616,
471,2.89037175789616;2.89037175789616;2.89037175789616,
472,2.89037175789616;2.89037175789616;2.89037175789616,
473,2.89037175789616;2.89037175789616;2.89037175789616,
474,2.89037175789616;2.89037175789616;2.89037175789616,
475,2.89037175789616;2.89037175789616;2.89037175789616,
476,2.94443897916644;2.94443897916644;2.94443897916644,
477,2.89037175789616;2.89037175789616;2.89037175789616,
478,2.89037175789616;2.89037175789616;2.89037175789616,
479,2.89037175789616;2.89037175789616;2.89037175789616,
480,2.89037175789616;2.89037175789616;2.89037175789616,
481,2.89037175789616;2.89037175789616;2.89037175789616,
482,2.89037175789616;2.89037175789616;2.89037175789616,
483,2.89037175789616;2.89037175789616;2.89037175789616,
484,2.89037175789616;2.89037175789616;2.89037175789616,
485,2.89037175789616;2.89037175789616;2.89037175789616,
486,2.89037175789616;2.89037175789616;2.89037175789616,
487,2.89037175789616;2.89037175789616;2.89037175789616,
488,2.89037175789616;2.89037175789616;2.89037175789616,
489,2.89037175789616;2.89037175789616;2.89037175789616,
490,2.89037175789616;2.89037175789616;2.89037175789616,
491,2.89037175789616;2.89037175789616;2.89037175789616,
492,2.89037175789616;2.89037175789616;2.89037175789616,
493,2.89037175789616;2.89037175789616;2.89037175789616,
494,2.89037175789616;2.89037175789616;2.89037175789616,
495,2.89037175789616;2.89037175789616;2.89037175789616,
496,2.89037175789616;2.89037175789616;2.89037175789616,
497,2.89037175789616;2.89037175789616;2.89037175789616,
498,2.89037175789616;2.89037175789616;2.89037175789616,
499,2.89037175789616;2.89037175789616;2.89037175789616,
500,2.89037175789616;2.89037175789616;2.89037175789616,
501,2.89037175789616;2.89037175789616;2.89037175789616,
502,2.89037175789616;2.89037175789616;2.89037175789616,
503,2.89037175789616;2.89037175789616;2.89037175789616,
504,2.89037175789616;2.89037175789616;2.89037175789616,
505,2.89037175789616;2.89037175789616;2.89037175789616,
506,2.89037175789616;2.89037175789616;2.89037175789616,
507,2.89037175789616;2.89037175789616;2.89037175789616,
508,2.89037175789616;2.89037175789616;2.89037175789616,
509,2.89037175789616;2.89037175789616;2.89037175789616,
510,2.89037175789616;2.89037175789616;2.89037175789616,
511,2.89037175789616;2.89037175789616;2.89037175789616,
512,2.89037175789616;2.89037175789616;2.89037175789616,
513,2.89037175789616;2.89037175789616;2.89037175789616,
514,2.89037175789616;2.89037175789616;2.89037175789616,
515,2.89037175789616;2.89037175789616;2.89037175789616,
